time,temperature
0.0,371.79901
900.0,371.79901
1800.0,371.10043
2700.0,371.59375
3600.0,370.70218
4500.0,371.29498
5400.0,372.58984
6300.0,372.39746
7200.0,372.09778
8100.0,371.99643
9000.0,371.49902
9900.0,371.39691
10800.0,371.39606
11700.0,370.89929
12600.0,372.38809
13500.0,373.78818
14400.0,373.29758
15300.0,370.80957
16200.0,372.68665
17100.0,371.00568
18000.0,370.20114
18900.0,369.6994
19800.0,370.29388
20700.0,368.8053
21600.0,370.0899
22500.0,369.30066
23400.0,370.98712
24300.0,370.30029
25200.0,370.69427
26100.0,370.09958
27000.0,370.59393
27900.0,371.29224
28800.0,370.89975
29700.0,372.19034
30600.0,371.20175
31500.0,371.69415
32400.0,372.5914
33300.0,372.59631
34200.0,369.31415
35100.0,371.78391
36000.0,371.49753
36900.0,370.80014
37800.0,371.98984
38700.0,371.20056
39600.0,372.28986
40500.0,372.99445
41400.0,373.89154
42300.0,372.1059
43200.0,372.3949
44100.0,373.69012
45000.0,370.90878
45900.0,372.78766
46800.0,372.69608
47700.0,372.09949
48600.0,372.59363
49500.0,372.79477
50400.0,372.29922
51300.0,373.09146
52200.0,373.59442
53100.0,371.80603
54000.0,373.78781
54900.0,373.19992
55800.0,373.59451
56700.0,372.89999
57600.0,373.79346
58500.0,373.39926
59400.0,373.79465
60300.0,371.00928
61200.0,370.99844
62100.0,372.29196
63000.0,372.39655
63900.0,372.09912
64800.0,372.49539
65700.0,374.19019
66600.0,373.10178
67500.0,372.10104
68400.0,372.79465
69300.0,373.1955
70200.0,372.59998
71100.0,372.69727
72000.0,373.59412
72900.0,373.29883
73800.0,374.09433
74700.0,373.3006
75600.0,373.49594
76500.0,372.70102
77400.0,374.98944
78300.0,374.20081
79200.0,373.89893
80100.0,375.59241
81000.0,377.69
81900.0,376.30276
82800.0,377.99167
83700.0,376.70242
84600.0,376.69754
85500.0,375.50235
86400.0,376.2937
87300.0,375.70029
88200.0,375.49908
89100.0,376.59296
90000.0,375.89972
90900.0,373.80487
91800.0,375.09213
