time,temperature
0.0,276.79999
900.0,276.79999
1800.0,277.0
2700.0,277.0
3600.0,277.0
4500.0,277.10001
5400.0,277.20001
6300.0,277.39999
7200.0,277.20001
8100.0,277.20001
9000.0,277.20001
9900.0,277.20001
10800.0,277.29999
11700.0,277.29999
12600.0,276.89999
13500.0,276.70001
14400.0,276.70001
15300.0,276.79999
16200.0,276.79999
17100.0,276.89999
18000.0,276.89999
18900.0,276.70001
19800.0,276.70001
20700.0,276.70001
21600.0,276.70001
22500.0,276.60001
23400.0,276.60001
24300.0,276.70001
25200.0,276.70001
26100.0,276.70001
27000.0,276.60001
27900.0,277.0
28800.0,276.79999
29700.0,276.79999
30600.0,276.70001
31500.0,276.70001
32400.0,276.70001
33300.0,276.79999
34200.0,276.70001
35100.0,276.79999
36000.0,276.79999
36900.0,276.79999
37800.0,276.79999
38700.0,276.89999
39600.0,277.10001
40500.0,277.0
41400.0,277.0
42300.0,276.70001
43200.0,276.70001
44100.0,276.70001
45000.0,276.89999
45900.0,276.79999
46800.0,276.70001
47700.0,276.70001
48600.0,276.5
49500.0,276.5
50400.0,276.70001
51300.0,276.79999
52200.0,276.70001
53100.0,276.70001
54000.0,276.89999
54900.0,276.89999
55800.0,276.70001
56700.0,276.60001
57600.0,276.70001
58500.0,276.70001
59400.0,276.70001
60300.0,276.70001
61200.0,276.5
62100.0,276.29999
63000.0,276.29999
63900.0,276.39999
64800.0,276.5
65700.0,276.60001
66600.0,276.60001
67500.0,276.5
68400.0,276.60001
69300.0,276.60001
70200.0,276.5
71100.0,276.60001
72000.0,276.60001
72900.0,276.60001
73800.0,276.79999
74700.0,276.89999
75600.0,277.0
76500.0,277.20001
77400.0,277.20001
78300.0,277.79999
79200.0,278.5
80100.0,278.39999
81000.0,278.29999
81900.0,278.5
82800.0,278.5
83700.0,278.60001
84600.0,278.70001
85500.0,278.5
86400.0,278.89999
87300.0,279.39999
88200.0,279.39999
89100.0,280.10001
90000.0,280.29999
90900.0,280.29999
91800.0,280.0
92700.0,279.89999
93600.0,279.79999
94500.0,279.60001
95400.0,279.5
96300.0,279.39999
97200.0,279.20001
98100.0,279.20001
99000.0,279.20001
99900.0,278.79999
100800.0,278.79999
101700.0,278.5
102600.0,278.10001
103500.0,277.70001
104400.0,277.39999
105300.0,277.10001
106200.0,277.10001
107100.0,276.89999
108000.0,276.70001
108900.0,276.29999
109800.0,276.20001
110700.0,276.0
111600.0,276.0
112500.0,275.89999
113400.0,275.70001
114300.0,275.60001
115200.0,275.29999
116100.0,275.10001
117000.0,275.10001
117900.0,275.10001
118800.0,274.70001
119700.0,274.5
120600.0,274.29999
121500.0,274.20001
122400.0,274.20001
123300.0,274.20001
124200.0,274.10001
125100.0,273.79999
126000.0,273.60001
126900.0,273.5
127800.0,273.70001
128700.0,273.70001
129600.0,273.39999
130500.0,273.29999
131400.0,273.20001
132300.0,273.20001
133200.0,273.10001
134100.0,273.10001
135000.0,272.79999
135900.0,272.89999
136800.0,272.79999
137700.0,272.79999
138600.0,272.70001
139500.0,272.70001
140400.0,272.79999
141300.0,272.5
142200.0,272.39999
143100.0,272.5
144000.0,272.79999
144900.0,272.5
145800.0,272.5
146700.0,272.29999
147600.0,272.20001
148500.0,272.29999
149400.0,272.29999
150300.0,272.39999
